# //  ModelSim SE-64 10.1c Jul 28 2012 
# //
# //  Copyright 1991-2012 Mentor Graphics Corporation
# //  All Rights Reserved.
# //
# //  THIS WORK CONTAINS TRADE SECRET AND PROPRIETARY INFORMATION
# //  WHICH IS THE PROPERTY OF MENTOR GRAPHICS CORPORATION OR ITS
# //  LICENSORS AND IS SUBJECT TO LICENSE TERMS.
# //
# vsim -L ADD_SingleCycle_lib -l transcript.txt -i -multisource_delay latest -t ns +typdelays -foreign {hdsInit C:/MentorGraphics/HDS_2012.1/resources/downstream/modelsim/ModelSim_64Bit.dll} -pli {"C:/MentorGraphics/HDS_2012.1/resources/downstream/modelsim/ModelSim_64Bit.dll"} ADD_SingleCycle_lib.Hookup_cache_V2(struct) 
# ** Note: (vsim-3812) Design is being optimized...
# 
# ** Note: (vsim-3865) Due to PLI being present, full design access is being specified.
# 
# ** Note: (vopt-143) Recognized 1 FSM in architecture body "Data_StateMachineV2(Behavior)".
# 
# ** Note: (vopt-143) Recognized 1 FSM in architecture body "Inst_StateMachine_V2(Behavior)".
# 
# ** Warning: [14] C:/Users/Rebecca/Documents/GitHub/ADD_SingleCycle/ADD_SingleCycle_lib/hdl/Memory_StateMachine_V2_Behavior.vhd(81): (vopt-1167) Index value -48 (of type std.STANDARD.NATURAL) is out of range 0 to 2147483647.
# 
# ** Note: (vopt-143) Recognized 1 FSM in architecture body "Memory_StateMachine_V2(Behavior)".
# 
# Loading C:/MentorGraphics/HDS_2012.1/resources/downstream/modelsim/ModelSim_64Bit.dll
# Loading std.standard
# Loading std.textio(body)
# Loading ieee.std_logic_1164(body)
# Loading ieee.std_logic_arith(body)
# Loading ieee.std_logic_signed(body)
# Loading ieee.math_real(body)
# Loading work.hookup_cache_v2(struct)#1
# Loading work.ccreg(behavior)#1
# Loading work.controlunit(behavior)#1
# Loading work.data_statemachinev2(behavior)#1
# Loading work.extendblock(extendblockarch)#1
# Loading work.increment(incrementarch)#1
# Loading work.inst_statemachine_v2(behavior)#1
# Loading work.memory_statemachine_v2(behavior)#1
# Loading work.pc(pcarch)#1
# Loading work.registerfile(behavior)#1
# Loading work.alu(aluarch)#1
# Loading work.cachedata_lols_v2(behavior)#1
# Loading work.datacache_v2(behavior)#1
# Loading work.mux2to1(mux2to1arch)#1
# Loading work.mux4to1(mux4to1arch)#1
# Loading work.ram_delay_v3(behavior)#1
add wave  \
sim:/hookup_cache_v2/c \
sim:/hookup_cache_v2/rst \
sim:/hookup_cache_v2/ALU_L_mux \
sim:/hookup_cache_v2/ALU_R_mux \
sim:/hookup_cache_v2/ALUout \
sim:/hookup_cache_v2/CCR_en \
sim:/hookup_cache_v2/ConditionCode \
sim:/hookup_cache_v2/LEFT \
sim:/hookup_cache_v2/MMdataToRAM \
sim:/hookup_cache_v2/Mem_en \
sim:/hookup_cache_v2/PC_Increment \
sim:/hookup_cache_v2/PC_en \
sim:/hookup_cache_v2/PC_in \
sim:/hookup_cache_v2/PC_mux \
sim:/hookup_cache_v2/PC_out \
sim:/hookup_cache_v2/RF_en \
sim:/hookup_cache_v2/RF_mux \
sim:/hookup_cache_v2/RIGHT \
sim:/hookup_cache_v2/SEXT \
sim:/hookup_cache_v2/ZEXT_L \
sim:/hookup_cache_v2/ZEXT_R \
sim:/hookup_cache_v2/ack \
sim:/hookup_cache_v2/addrFromData \
sim:/hookup_cache_v2/addrFromInst \
sim:/hookup_cache_v2/addrToMem \
sim:/hookup_cache_v2/addrToRam \
sim:/hookup_cache_v2/ccvector \
sim:/hookup_cache_v2/cin \
sim:/hookup_cache_v2/dataFromData \
sim:/hookup_cache_v2/dataFromMem \
sim:/hookup_cache_v2/dataToMem \
sim:/hookup_cache_v2/dataToP \
sim:/hookup_cache_v2/dataToRam \
sim:/hookup_cache_v2/dcache_en \
sim:/hookup_cache_v2/ddataFromRam \
sim:/hookup_cache_v2/ddelay \
sim:/hookup_cache_v2/dfilled \
sim:/hookup_cache_v2/dout1 \
sim:/hookup_cache_v2/idataFromRam \
sim:/hookup_cache_v2/idelay \
sim:/hookup_cache_v2/ifilled \
sim:/hookup_cache_v2/inst \
sim:/hookup_cache_v2/intaddr \
sim:/hookup_cache_v2/intwe \
sim:/hookup_cache_v2/ireq \
sim:/hookup_cache_v2/ramrw_en \
sim:/hookup_cache_v2/rd \
sim:/hookup_cache_v2/rd0 \
sim:/hookup_cache_v2/rd1 \
sim:/hookup_cache_v2/rreq \
sim:/hookup_cache_v2/slicer \
sim:/hookup_cache_v2/slicer1 \
sim:/hookup_cache_v2/wd \
sim:/hookup_cache_v2/wr \
sim:/hookup_cache_v2/wreq \
sim:/hookup_cache_v2/zero
# ** Warning: (vsim-WLF-5000) WLF file currently in use: vsim.wlf
# 
#           File in use by: Rebecca  Hostname: ATHENA  ProcessID: 5484
# 
#           Attempting to use alternate WLF file "./wlftmw2tq3".
# ** Warning: (vsim-WLF-5001) Could not open WLF file: vsim.wlf
# 
#           Using alternate file: ./wlftmw2tq3
# 
force -freeze sim:/hookup_cache_v2/c 1 0, 0 {50 ns} -r 100
force -freeze sim:/hookup_cache_v2/rst 1 0
run
# ** Warning: There is an 'U'|'X'|'W'|'Z'|'-' in an arithmetic operand, the result will be 'X'(es).
#    Time: 0 ns  Iteration: 0  Instance: /hookup_cache_v2/U_4
# ** Warning: CONV_INTEGER: There is an 'U'|'X'|'W'|'Z'|'-' in an arithmetic operand, and it has been converted to 0.
#    Time: 0 ns  Iteration: 0  Instance: /hookup_cache_v2/U_4
# ** Warning: There is an 'U'|'X'|'W'|'Z'|'-' in an arithmetic operand, the result will be 'X'(es).
#    Time: 0 ns  Iteration: 0  Instance: /hookup_cache_v2/U_18
# ** Warning: CONV_INTEGER: There is an 'U'|'X'|'W'|'Z'|'-' in an arithmetic operand, and it has been converted to 0.
#    Time: 0 ns  Iteration: 0  Instance: /hookup_cache_v2/U_18
# ** Warning: There is an 'U'|'X'|'W'|'Z'|'-' in an arithmetic operand, the result will be 'X'(es).
#    Time: 0 ns  Iteration: 0  Instance: /hookup_cache_v2/U_13
# ** Warning: There is an 'U'|'X'|'W'|'Z'|'-' in an arithmetic operand, the result will be 'X'(es).
#    Time: 0 ns  Iteration: 0  Instance: /hookup_cache_v2/U_13
# ** Warning: There is an 'U'|'X'|'W'|'Z'|'-' in an arithmetic operand, the result will be 'X'(es).
#    Time: 0 ns  Iteration: 0  Instance: /hookup_cache_v2/U_13
# ** Warning: There is an 'U'|'X'|'W'|'Z'|'-' in an arithmetic operand, the result will be 'X'(es).
#    Time: 0 ns  Iteration: 0  Instance: /hookup_cache_v2/U_13
# ** Warning: There is an 'U'|'X'|'W'|'Z'|'-' in an arithmetic operand, the result will be 'X'(es).
#    Time: 0 ns  Iteration: 0  Instance: /hookup_cache_v2/U_5
# ** Warning: CONV_INTEGER: There is an 'U'|'X'|'W'|'Z'|'-' in an arithmetic operand, and it has been converted to 0.
#    Time: 0 ns  Iteration: 0  Instance: /hookup_cache_v2/U_5
# ** Warning: There is an 'U'|'X'|'W'|'Z'|'-' in an arithmetic operand, the result will be 'X'(es).
#    Time: 0 ns  Iteration: 0  Instance: /hookup_cache_v2/U_5
# ** Warning: CONV_INTEGER: There is an 'U'|'X'|'W'|'Z'|'-' in an arithmetic operand, and it has been converted to 0.
#    Time: 0 ns  Iteration: 0  Instance: /hookup_cache_v2/U_5
# ** Fatal: (vsim-3738) (vopt-1167) Index value -48 (of type std.STANDARD.NATURAL) is out of range 0 to 2147483647.
#    Time: 0 ns  Iteration: 0  Process: /hookup_cache_v2/U_22/line__73 File: C:/Users/Rebecca/Documents/GitHub/ADD_SingleCycle/ADD_SingleCycle_lib/hdl/Memory_StateMachine_V2_Behavior.vhd
# 0
# Fatal error in Process line__73 at C:/Users/Rebecca/Documents/GitHub/ADD_SingleCycle/ADD_SingleCycle_lib/hdl/Memory_StateMachine_V2_Behavior.vhd line 81
# 
# HDL call sequence:
# Stopped at C:/Users/Rebecca/Documents/GitHub/ADD_SingleCycle/ADD_SingleCycle_lib/hdl/Memory_StateMachine_V2_Behavior.vhd 81 Process line__73
# 
force -freeze sim:/hookup_cache_v2/rst 0 0
run
# Cannot continue because of fatal error.
# HDL call sequence:
# Stopped at C:/Users/Rebecca/Documents/GitHub/ADD_SingleCycle/ADD_SingleCycle_lib/hdl/Memory_StateMachine_V2_Behavior.vhd 81 Process line__73
# 
run
# 0
# Cannot continue because of fatal error.
# HDL call sequence:
# Stopped at C:/Users/Rebecca/Documents/GitHub/ADD_SingleCycle/ADD_SingleCycle_lib/hdl/Memory_StateMachine_V2_Behavior.vhd 81 Process line__73
# 
# hds_restart 
restart -force
# ** Note: (vsim-3813) Design is being optimized due to module recompilation...
# 
# ** Note: (vsim-3865) Due to PLI being present, full design access is being specified.
# 
# ** Note: (vopt-143) Recognized 1 FSM in architecture body "Memory_StateMachine_V2(Behavior)".
# 
# Loading C:/MentorGraphics/HDS_2012.1/resources/downstream/modelsim/ModelSim_64Bit.dll
# Loading std.standard
# Loading std.textio(body)
# Loading ieee.std_logic_1164(body)
# Loading ieee.std_logic_arith(body)
# Loading ieee.std_logic_signed(body)
# Loading ieee.math_real(body)
# Loading work.hookup_cache_v2(struct)#1
# Loading work.ccreg(behavior)#1
# Loading work.controlunit(behavior)#1
# Loading work.data_statemachinev2(behavior)#1
# Loading work.extendblock(extendblockarch)#1
# Loading work.increment(incrementarch)#1
# Loading work.inst_statemachine_v2(behavior)#1
# Loading work.memory_statemachine_v2(behavior)#1
# Loading work.pc(pcarch)#1
# Loading work.registerfile(behavior)#1
# Loading work.alu(aluarch)#1
# Loading work.cachedata_lols_v2(behavior)#1
# Loading work.datacache_v2(behavior)#1
# Loading work.mux2to1(mux2to1arch)#1
# Loading work.mux4to1(mux4to1arch)#1
# Loading work.ram_delay_v3(behavior)#1
force -freeze sim:/hookup_cache_v2/c 1 0, 0 {50 ns} -r 100
force -freeze sim:/hookup_cache_v2/rst 1 0
run
# ** Warning: There is an 'U'|'X'|'W'|'Z'|'-' in an arithmetic operand, the result will be 'X'(es).
#    Time: 0 ns  Iteration: 0  Instance: /hookup_cache_v2/U_4
# ** Warning: CONV_INTEGER: There is an 'U'|'X'|'W'|'Z'|'-' in an arithmetic operand, and it has been converted to 0.
#    Time: 0 ns  Iteration: 0  Instance: /hookup_cache_v2/U_4
# ** Warning: There is an 'U'|'X'|'W'|'Z'|'-' in an arithmetic operand, the result will be 'X'(es).
